Nome,Estado
PA,OURILANDIA DO NORTE
BA,UNA 
MT,SORRISO
PA,CONCEIÇÃO DO ARAGUAIA
SP,AREALVA
RJ,RIO DE JANEIRO
RJ,ANGRA DOS REIS  
AP,AMAPÁ
GO,ANÁPOLIS
SP,ARARAQUARA
SE,ARACAJU
SP,ASSIS
MT,ALTA FLORESTA
SP,ARAÇATUBA
SP,TEODORO SAMPAIO
MG,ARAXÁ
PA,BELÉM
RS,BAGÉ
MG,BELO HORIZONTE
PR,CURITIBA
MG,BARBACENA
DF,BRASÍLIA
SP,BARRETOS
SP,BAURU
RR,BOA VISTA
MT,BARRA DO GARÇAS
RJ,ARMAÇÃO DE BÚZIOS
PR,CASCAVEL
RJ,CABO FRIO
PA,NOVO PROGRESSO
SC,CAÇADOR
MG,CONFINS
MS,CAMPO GRANDE
SC,CHAPECÓ
MA,CAROLINA
PA,PARAUAPEBAS
SC,FORQUILHINHA
GO,CALDAS NOVAS
RS,CANOAS
RJ,CAMPOS DOS GOYTACAZES
MS,CORUMBÁ
PR,SÃO JOSÉ DOS PINHAIS
BA,CARAVELAS
RS,CAXIAS DO SUL
MT,VÁRZEA GRANDE
AC,CRUZEIRO DO SUL
MS,BONITO
SP,PRESIDENTE PRUDENTE
MS,DOURADOS
AM,MANAUS
PA,JACAREACANGA
SP,FRANCA
PR,FOZ DO IGUAÇU
SC,FLORIANÓPOLIS
PE,FERNANDO DE NORONHA
CE,FORTALEZA
RO,GUAJARÁ-MIRIM
GO,GOIÂNIA
SP,GAVIÃO PEIXOTO
SP,GUARULHOS
PR,PONTA GROSSA
PR,GUARAPUAVA
MG,GOVERNADOR VALADARES
PA,ALTAMIRA
AM,ITACOATIARA
PA,ITAITUBA
BA,ILHÉUS
MG,SANTANA DO PARAÍSO
GO,Itumbiara
MA,IMPERATRIZ
SC,JAGUARUNA
SP,JUNDIAÍ
MG,JUIZ DE FORA
RO,JI-PARANÁ
PB,BAYEUX
CE,JUAZEIRO DO NORTE
SC,JOINVILLE
PB,CAMPINA GRANDE
SP,CAMPINAS
BA,LENÇÓIS
SC,LAGES
SP,LINS
PR,LONDRINA
BA,BOM JESUS DA LAPA
PA,MARABÁ
GO,MINAÇU
PA,ALMEIRIM
RJ,MACAÉ
PR,MARINGÁ
MG,MONTES CLAROS
SP,MARÍLIA
AL,RIO LARGO
AP,MACAPÁ
RN,MOSSORÓ
SP,SÃO PAULO
AM,MANICORÉ
SC,NAVEGANTES
RS,SANTO ÂNGELO
RN,PARNAMIRIM
AP,OIAPOQUE
RS,PORTO ALEGRE
PI,PARNAÍBA
MG,POÇOS DE CALDAS
RS,PASSO FUNDO
TO,PALMAS
RS,PELOTAS
PE,PETROLINA
TO,PORTO NACIONAL
MS,PONTA PORÃ
BA,PORTO SEGURO
RO,PORTO VELHO
BA,VITÓRIA DA CONQUISTA
AC,SENA MADUREIRA
MT,RONDONÓPOLIS
PE,RECIFE
RS,RIO GRANDE
SP,RIBEIRÃO PRETO
RN,SÃO GONÇALO DO AMARANTE
SP,SÃO JOSÉ DOS CAMPOS
MA,SÃO LUÍS
RS,SANTA MARIA
PA,SANTARÉM
SP,SÃO JOSÉ DO RIO PRETO
SP,SANTOS
BA,SALVADOR
PA,ORIXIMINÁ
BA,UNA
PR,TOLEDO
PI,TERESINA
AM,TEFÉ
MS,TRÊS LAGOAS
AC,TARAUACÁ
PR,TELÊMACO BORBA
RS,TORRES
PA,ÓBIDOS
AM,TABATINGA
PA,TUCURUÍ
AM,SÃO GABRIEL DA CACHOEIRA
BA,PAULO AFONSO
RS,URUGUAIANA
MG,UBERLÂNDIA
MG,UBERABA
AM,COARI
MG,VARGINHA
RO,VILHENA
ES,VITÓRIA
SP,PIRASSUNUNGA
MG,GOIANÁ
SP,ARARAS
RJ,ANGRA DOS REIS
SP,BEBEDOURO
SP,BOTUCATU
AM,SÃO PAULO DE OLIVENÇA
SP,SOROCABA
BA,CACULÉ
SP,BARRA BONITA
RJ,MARICÁ
SP,OURINHOS
GO,MOZARLÂNDIA
PA,OURILÂNDIA DO NORTE
RJ,MANGARATIBA
RJ,RESENDE
SP,SÃO CARLOS
RJ,PARATI
SP,UBATUBA
RJ,ITAPERUNA
SP,VERA CRUZ
SP,VOTUPORANGA
MG,JUIZ DE FORA/UBÁ/CATAGUASES
PB,CATOLÉ DO ROCHA
ES,ARACRUZ
MT,COLÍDER
MT,LUCAS DO RIO VERDE
AP,LARANJAL DO JARI
BA,Maraú
PA,CHAVES
RS,ELDORADO DO SUL
MT,JUARA
AM,URUCARÁ
TO,ARAGUATINS
MT,CONFRESA
MT,COTRIGUAÇU
RR,PACAIMA
RR,CARACARAÍ
MT,COCALINHO
PA,TERRA SANTA
GO,ARAGARÇAS
PE,ARARIPINA
BA,ADUSTINA
MG,JANAÚBA
CE,ARACATI
BA,JUAZEIRO
MA,BACABAL
BA,BARREIRAS
MA,BALSAS
BA,BRUMADO
PA,IPIXUNA DO PARÁ
PA,BAIÃO
BA,BARRA
PA,CAPANEMA
PA,RURÓPOLIS
PA,REDENÇÃO
MA,TIMON
MG,DIAMANTINA
MG,DIVINÓPOLIS
PA,PARAGOMINAS
MG,ALFENAS
PA,SÃO FÉLIX DO XINGU
BA,GUANAMBI
PE,SERRA TALHADA
BA,IRECÊ
CE,IGUATU
BA,IPIAÚ
BA,JACOBINA
BA,FEIRA DE SANTANA
BA,JEQUIÉ
MG,SÃO JOÃO DEL REI
PA,SANTANA DO ARAGUAIA
ES,CACHOEIRO DE ITAPEMIRIM
RN,CAICÓ
PA,MONTE ALEGRE
GO,PIRENÓPOLIS
BA,MARACÁS
MG,JAÍBA
BA,MUCURI
ES,SÃO MATEUS
PA,PORTO DE MOZ
CE,SOBRAL
PI,PICOS
MG,PATOS DE MINAS
AP,PORTO GRANDE
MG,PATROCÍNIO
BA,MORRO DE SÃO PAULO
PA,BARCARENA
MG,SÃO SEBASTIÃO DO PARAÍSO
PB,SOUSA
PI,FLORIANO
PE,CARUARU
PA,SALINÓPOLIS
PA,SOURE
BA,TEIXEIRA DE FREITAS
MG,TEÓFILO OTONI
PA,TAILÂNDIA
PB,PATOS
MG,UBÁ
RN,AÇU
MG,ARAÇUAÍ
PA,ULIANÓPOLIS  
BA,VALENÇA
BA,VERA CRUZ
PA,BREVES
BA,VALENTE
PA,SENADOR JOSÉ PORFÍRIO
MT,QUERÊNCIA
MG,ITUIUTABA
PA,MOJU
MG,POUSO ALEGRE
MS,BODOQUENA
RS,BENTO GONÇALVES
SC,CONCÓRDIA
RS,CANELA
RS,ERECHIM
PR,FRANCISCO BELTRÃO
RS,HORIZONTINA
RS,IJUÍ
SC,JOAÇABA
PR,CAMPO MOURÃO
RO,CACOAL
PR,LARANJEIRAS DO SUL
RS,ALEGRETE
GO,APORÉ
MT,SÃO FÉLIX DO ARAGUAIA
RS,NOVO HAMBURGO
MT,GUARANTÃ DO NORTE
SC,SÃO MIGUEL DO OESTE
PR,PATO BRANCO
PR,PARANAGUÁ
PR,PORECATU
RS,SANTA CRUZ DO SUL
PR,UMUARAMA
SC,VIDEIRA
RS,SANTA ROSA
RR,ALTO ALEGRE
AM,BARCELOS
AM,BARREIRINHA
AM,BORBA
MT,PEIXOTO DE AZEVEDO
RR,AMAJARI
AM,CARAUARI
GO,CAMPOS BELOS
MT,ARIPUANÃ
MT,CAMPO NOVO DO PARECIS
RO,COSTA MARQUES
GO,SÃO MIGUEL DO ARAGUAIA
MT,DIAMANTINO
AM,ATALAIA DO NORTE
AM,EIRUNEPÉ
MT,CANARANA
AC,FEIJÓ
TO,GURUPI
TO,ARAGUAÍNA
GO,PALMEIRAS DE GOIÁS
GO,SANTA HELENA DO GOIÁS
MT,ÁGUA BOA
AM,HUMAITÁ
AM,SANTO ANTÔNIO DO IÇÁ
MT,JUÍNA
AM,JAPURÁ
MS,SELVÍRIA
MT,JURUENA
GO,JATAÍ
MT,CÁCERES
AM,LÁBREA
GO,RIO VERDE
MT,SANTO ANTÔNIO DO LEVERGER
AM,MAUÉS
AM,NOVO ARIPUANÃ
GO,ARUANÃ
AM,BOCA DO ACRE
AM,NOVA OLINDA DO NORTE
GO,NIQUELÂNDIA
AM,FONTE BOA
RR,BONFIM
AM,PRESIDENTE FIGUEIREDO
AM,PARINTINS
MT,PORTO ALEGRE DO NORTE
MT,SINOP
AM,SANTA ISABEL DO RIO NEGRO
MT,TANGARÁ DA SERRA
MT,VILA RICA
GO,PORANGATU
GO,URUAÇU
MT,MATUPÁ
MT,NOVA XAVANTINA
MT,POCONÉ
AM,APUÍ
GO,USINA SÃO SIMÃO
